token,symbol,name,expiry,strike,lotsize,instrumenttype,exch_seg,tick_size,freeze_qty
1154261,ADANIGREEN26JUL1380CE,ADANIGREEN,30JUL2026,138000.000000,600,OPTSTK,BFO,5.000000,100000000
1154275,ABB26JUL7700CE,ABB,30JUL2026,770000.000000,125,OPTSTK,BFO,5.000000,7500
1150038,COFORGE26JUL1100CE,COFORGE,30JUL2026,110000.000000,475,OPTSTK,BFO,5.000000,6000
1150039,OBEROIRLTY26JUL1540CE,OBEROIRLTY,30JUL2026,154000.000000,350,OPTSTK,BFO,5.000000,28000
1150056,IDEA26JUL11PE,IDEA,30JUL2026,1100.000000,71475,OPTSTK,BFO,5.000000,2400000
1150062,DELHIVERY26JUL450CE,DELHIVERY,30JUL2026,45000.000000,2075,OPTSTK,BFO,5.000000,100000000
1123665,GAIL26JUN151CE,GAIL,25JUN2026,15100.000000,3150,OPTSTK,BFO,5.000000,274500
1123669,JINDALSTEL26JUN1240PE,JINDALSTEL,25JUN2026,124000.000000,625,OPTSTK,BFO,5.000000,37500
1123677,GAIL26JUN151PE,GAIL,25JUN2026,15100.000000,3150,OPTSTK,BFO,5.000000,274500
1123711,GODREJPROP26JUN1740CE,GODREJPROP,25JUN2026,174000.000000,275,OPTSTK,BFO,5.000000,19000
1154284,CAMS26JUL870PE,CAMS,30JUL2026,87000.000000,825,OPTSTK,BFO,5.000000,100000000
1154310,BIOCON26JUL400CE,BIOCON,30JUL2026,40000.000000,2500,OPTSTK,BFO,5.000000,100000
1154327,POWERINDIA26JUL37500CE,POWERINDIA,30JUL2026,3750000.000000,25,OPTSTK,BFO,5.000000,100000000
1154337,M&M26JUL3280CE,M&M,30JUL2026,328000.000000,200,OPTSTK,BFO,5.000000,21000
1139979,PIDILITIND26JUL1310PE,PIDILITIND,30JUL2026,131000.000000,500,OPTSTK,BFO,5.000000,10000
1139997,AMBER26JUL8100CE,AMBER,30JUL2026,810000.000000,100,OPTSTK,BFO,5.000000,100000000
1140004,LODHA26JUL890CE,LODHA,30JUL2026,89000.000000,625,OPTSTK,BFO,5.000000,100000000
1140011,UNITDSPR26JUL1350PE,UNITDSPR,30JUL2026,135000.000000,400,OPTSTK,BFO,5.000000,28000
1150075,NATIONALUM26JUL405PE,NATIONALUM,30JUL2026,40500.000000,1875,OPTSTK,BFO,5.000000,300000
